origin,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
34,436256.0,4045.0,98714.0,247.0,142892.0,324.0,292889.0,457789.0,1165.0,184.0,202.0,191731.0,174893.0,112053.0,1323.0,136506.0,1200.0,14849.0,891.0,124747.0,46953.0,363.0,527.0,190578.0,832.0,101763.0,40745.0,13350.0,333618.0,340.0,266262.0,142306.0,128099.0,NA,907.0,410.0,27833.0,3.0,1460.0,707.0,691.0,614.0,411.0,38502.0,721.0,173.0,37244.0,132632.0,157.0,139735.0
35,228022.0,37149.0,10119.0,18.0,88507.0,703.0,52322.0,501171.0,NA,7593.0,241.0,346124.0,523259.0,39831.0,78.0,148339.0,75.0,NA,64624.0,398614.0,1069840.0,67.0,18.0,341.0,303.0,256486.0,1391.0,1854.0,206928.0,495.0,5410.0,12380.0,432678.0,62.0,NA,421.0,1847.0,NA,120274.0,251431.0,348940.0,921.0,243918.0,876946.0,303456.0,674961.0,50791.0,1512.0,55.0,102158.0
36,132674.0,874.0,307472.0,82.0,3.0,546.0,181084.0,205122.0,294.0,166.0,422.0,787.0,3320.0,85126.0,NA,1047.0,108.0,356.0,519.0,1653.0,372.0,81.0,564.0,123027.0,151.0,189.0,1045.0,681.0,48490.0,163.0,281289.0,133912.0,473.0,289.0,307.0,NA,469.0,18.0,104.0,184.0,NA,1007.0,770.0,705.0,61.0,371.0,440.0,94053.0,909.0,155915.0
37,720628.0,2622.0,240550.0,334.0,257084.0,595.0,331650.0,431431.0,28670.0,26873.0,15370.0,263591.0,179924.0,130806.0,14678.0,124440.0,23687.0,238.0,4130.0,56374.0,99573.0,811.0,248.0,233781.0,291.0,102016.0,117675.0,2206.0,703218.0,122.0,199880.0,212988.0,41094.0,28311.0,443.0,1601.0,NA,297.0,133.0,105.0,38537.0,1269.0,484.0,75326.0,397.0,54386.0,61300.0,114293.0,46.0,252040.0
38,519299.0,977.0,25.0,NA,157390.0,96.0,254413.0,150838.0,6.0,NA,200.0,102169.0,18827.0,60724.0,188.0,18537.0,57.0,9698.0,195.0,816.0,NA,NA,233.0,48458.0,79.0,20383.0,3.0,667.0,189802.0,130.0,72498.0,83837.0,32.0,69.0,NA,46.0,131.0,NA,NA,NA,NA,143.0,18.0,4.0,NA,NA,72.0,14084.0,273.0,43950.0
39,1313.0,1298.0,1183.0,115.0,64.0,3.0,1491.0,111910.0,NA,80.0,1009.0,320279.0,220353.0,228.0,40.0,37437.0,952.0,137.0,826.0,166785.0,15918.0,302.0,NA,660.0,471.0,31172.0,3489.0,657.0,18937.0,266.0,583.0,925.0,476857.0,763.0,121131.0,NA,NA,1.0,NA,238451.0,113631.0,1657.0,359.0,533732.0,134060.0,261802.0,812.0,276.0,NA,1583.0
40,109708.0,2249.0,26615.0,299.0,10575.0,171.0,48780.0,182257.0,NA,148.0,137.0,264436.0,322887.0,807.0,930.0,96425.0,1247.0,142.0,5234.0,299121.0,1148309.0,107.0,186.0,2830.0,2820.0,88995.0,3867.0,3639.0,46185.0,732.0,2427.0,227.0,416673.0,535.0,251076.0,NA,69.0,NA,235046.0,NA,156483.0,2018.0,349068.0,72071.0,NA,454064.0,2588.0,2699.0,39.0,38137.0
41,526460.0,66997.0,143750.0,536.0,139538.0,1384.0,100419.0,450566.0,79048.0,293.0,1322.0,459211.0,789260.0,223332.0,415.0,183214.0,10015.0,42.0,72848.0,493988.0,1057683.0,128.0,120.0,19180.0,669.0,267906.0,31862.0,35503.0,344173.0,39806.0,209973.0,72372.0,610744.0,597.0,346712.0,7.0,40797.0,NA,113545.0,156459.0,NA,65435.0,303544.0,545275.0,183652.0,493750.0,60616.0,1353.0,30.0,107640.0
42,455212.0,660.0,96835.0,145.0,1585.0,105.0,111306.0,236390.0,NA,1367.0,2633.0,850740.0,220099.0,65428.0,154.0,443436.0,211.0,390.0,11964.0,190214.0,208082.0,82.0,905.0,42210.0,706.0,61174.0,71824.0,35850.0,78804.0,2712.0,78760.0,15211.0,202624.0,1167.0,1178.0,805.0,1233.0,324.0,1197.0,1898.0,66767.0,NA,71297.0,32302.0,3348.0,54468.0,73026.0,36219.0,527.0,53299.0
43,410873.0,68336.0,127939.0,55.0,147332.0,512.0,136263.0,669664.0,81.0,1046.0,1381.0,670419.0,612529.0,131693.0,1221.0,346882.0,2963.0,3242.0,57809.0,481996.0,346007.0,1354.0,371.0,93635.0,19618.0,203529.0,54573.0,44217.0,457075.0,1678.0,104294.0,141984.0,592836.0,1523.0,244116.0,226.0,1029.0,222.0,NA,356911.0,297499.0,70634.0,NA,1231067.0,389055.0,541090.0,45851.0,6152.0,3477.0,165490.0
44,614941.0,282503.0,117386.0,2412.0,655694.0,1184.0,316461.0,1616727.0,48062.0,88861.0,42666.0,920939.0,1174462.0,272339.0,914.0,661036.0,44838.0,235.0,84113.0,1579262.0,4053921.0,385.0,107.0,389610.0,50633.0,423843.0,77114.0,81024.0,2034965.0,19610.0,178116.0,324433.0,947543.0,40469.0,869184.0,671.0,74615.0,105.0,535354.0,67294.0,567567.0,33947.0,1208402.0,NA,124.0,1428939.0,137449.0,3647.0,110.0,662300.0
45,82452.0,72241.0,13110.0,NA,32582.0,174.0,10604.0,146997.0,NA,976.0,1114.0,297464.0,271071.0,3776.0,23.0,64763.0,913.0,226.0,3799.0,408728.0,1151142.0,436.0,38.0,845.0,1072.0,72876.0,2860.0,2210.0,46076.0,665.0,581.0,1141.0,383804.0,1590.0,303572.0,56.0,1063.0,NA,132705.0,39.0,184233.0,3720.0,387281.0,125.0,NA,512944.0,3961.0,1734.0,67.0,964.0
46,549083.0,128049.0,126140.0,78.0,278946.0,384.0,154090.0,879566.0,13467.0,12724.0,897.0,641747.0,862476.0,362083.0,457.0,351335.0,136.0,19.0,109638.0,797182.0,2041013.0,562.0,22.0,114770.0,67735.0,541040.0,86118.0,61055.0,657145.0,25558.0,128181.0,153103.0,784681.0,893.0,686849.0,243.0,54235.0,NA,264349.0,447226.0,487932.0,58010.0,547110.0,1419604.0,518315.0,NA,114242.0,60454.0,42.0,301814.0
47,508748.0,43449.0,146556.0,17.0,91413.0,148.0,180868.0,584838.0,21494.0,32572.0,66119.0,488909.0,361324.0,203062.0,1141.0,224503.0,14.0,4392.0,120048.0,245735.0,234330.0,2.0,NA,126655.0,50665.0,277244.0,72302.0,59080.0,393179.0,64728.0,254685.0,152730.0,263019.0,37899.0,47996.0,1831.0,59112.0,453.0,1328.0,4220.0,63352.0,75081.0,44142.0,133587.0,2432.0,116292.0,NA,124449.0,348.0,245718.0
48,1075406.0,39076.0,310769.0,59263.0,178831.0,78371.0,414179.0,602556.0,97110.0,76260.0,86409.0,438428.0,270628.0,317768.0,139868.0,384873.0,139164.0,13112.0,72239.0,113051.0,81097.0,46919.0,45950.0,490943.0,75188.0,170666.0,146534.0,105718.0,952597.0,285.0,413.0,341181.0,149214.0,136186.0,873.0,90277.0,113650.0,15705.0,1603.0,855.0,1081.0,35213.0,3711.0,2599.0,1174.0,58429.0,124945.0,NA,2051.0,432284.0
49,451178.0,94.0,170633.0,163.0,136.0,260.0,289910.0,193690.0,61.0,262.0,5.0,81240.0,1687.0,61010.0,937.0,18253.0,217.0,83.0,285.0,563.0,51.0,37.0,101.0,36938.0,98.0,8259.0,521.0,927.0,181784.0,9.0,52750.0,108248.0,49.0,76.0,64.0,718.0,78.0,124.0,1.0,387.0,314.0,637.0,5014.0,149.0,1.0,208.0,1237.0,1045.0,NA,116571.0
50,1319968.0,120507.0,18.0,34365.0,998118.0,84884.0,552437.0,1277140.0,132552.0,154549.0,209035.0,934606.0,750381.0,422125.0,278911.0,565195.0,231609.0,181064.0,178079.0,193480.0,741616.0,61111.0,43088.0,927678.0,89564.0,450796.0,228750.0,238216.0,972396.0,21436.0,692237.0,142602.0,230446.0,138276.0,100131.0,159416.0,252030.0,42045.0,358.0,36543.0,106654.0,55374.0,156583.0,665024.0,600.0,287796.0,245931.0,420225.0,117735.0,NA
