"FACILITY_ID","POINT_ID","AIRPORT_CODE","AIRPORT_CODE2","AMTRAK_STATION_CODE","FERRY_TERMINAL_CODE","RAIL_ID","BIKE_ID","DATE_UPDATED","ADDRESS","CITY","STATE","ZIPCODE","METRO_AREA","FACILITY_NAME","LONGITUDE","LATITUDE","POINT_LON","POINT_LAT","FACILITY_TYPE","FERRY_TRANSIT","FERRY_INTERCITY","BUS_TRANSIT","BUS_INTERCITY","BUS_CODE_SHARE","BUS_SUPPLEMENTAL","RAIL_INTERCITY","RAIL_COMMUTER","RAIL_HEAVY","RAIL_LIGHT","AIR_SERVICE","BIKE_SHARE","BIKE_SYSTEM_ID","BIKE_SYSTEM","WEBSITE","NOTES","DATA_SOURCE","INTERCITY_SERVICE","TRANSIT_SERVICE","CBSA_CODE","CBSA_TYPE","MODES_SERVING","MODE_BUS","MODE_AIR","MODE_RAIL","MODE_FERRY","MODE_BIKE",
"DC2058101",8190,"","","",,"","31222",2016-07-05,"New York Ave & 15th St NW","Washington","DC","20581","Washington-Arlington-Alexandria DC-VA-MD-WV","New York Ave & 15th St NW",-77.033700,38.899100,-77.033700,38.899100,12,3,3,1,0,0,0,0,0,2,3,0,1,56,"Capital Bikeshare","www.capitalbikeshare.com/","","",0,1,47900,1,2,1,0,0,0,1,
"DC2058201",1784,"","","",,"","31223",2016-07-05,"Convention Center / 7th & M St NW","Washington","DC","20582","Washington-Arlington-Alexandria DC-VA-MD-WV","Convention Center / 7th & M St NW",-77.022264,38.905720,-77.022164,38.905637,12,3,3,1,0,0,0,0,0,1,3,0,1,56,"Capital Bikeshare","www.capitalbikeshare.com/","","",0,1,47900,1,3,1,0,1,0,1,
"DC2058301",8191,"","","",,"","31112",2016-07-05,"Harvard St & Adams Mill Rd NW","Washington","DC","20583","Washington-Arlington-Alexandria DC-VA-MD-WV","Harvard St & Adams Mill Rd NW",-77.043358,38.927872,-77.043358,38.927872,12,3,3,1,0,0,0,0,0,0,3,0,1,56,"Capital Bikeshare","www.capitalbikeshare.com/","","",0,1,47900,1,2,1,0,0,0,1,
"DC2058401",8192,"","","",,"","31224",2016-07-05,"19th & L St NW","Washington","DC","20584","Washington-Arlington-Alexandria DC-VA-MD-WV","19th & L St NW",-77.043648,38.903407,-77.043648,38.903407,12,3,3,1,2,0,0,0,0,2,3,0,1,56,"Capital Bikeshare","www.capitalbikeshare.com/","","",0,1,47900,1,2,1,0,0,0,1,
"DC2058501",8193,"","","",,"","31225",2016-07-05,"C & O Canal & Wisconsin Ave NW","Washington","DC","20585","Washington-Arlington-Alexandria DC-VA-MD-WV","C & O Canal & Wisconsin Ave NW",-77.062690,38.903750,-77.062690,38.903750,12,3,3,1,0,0,0,0,0,0,3,0,1,56,"Capital Bikeshare","www.capitalbikeshare.com/","","",0,1,47900,1,2,1,0,0,0,1,
"DC2058601",8194,"","","",,"","31609",2016-07-05,"6th & Water St SW / SW Waterfront","Washington","DC","20586","Washington-Arlington-Alexandria DC-VA-MD-WV","6th & Water St SW / SW Waterfront",-77.021270,38.876750,-77.021270,38.876750,12,3,3,1,0,0,0,0,0,2,3,0,1,56,"Capital Bikeshare","www.capitalbikeshare.com/","","",0,1,47900,1,2,1,0,0,0,1,
"DC2058701",8195,"","","",,"","31612",2016-07-05,"D St & Maryland Ave NE","Washington","DC","20587","Washington-Arlington-Alexandria DC-VA-MD-WV","D St & Maryland Ave NE",-76.997114,38.894758,-76.997114,38.894758,12,3,3,1,0,0,0,0,0,0,3,0,1,56,"Capital Bikeshare","www.capitalbikeshare.com/","","",0,1,47900,1,2,1,0,0,0,1,
"DC2058801",8196,"","","",,"","31226",2016-07-05,"34th St & Wisconsin Ave NW","Washington","DC","20588","Washington-Arlington-Alexandria DC-VA-MD-WV","34th St & Wisconsin Ave NW",-77.068200,38.916442,-77.068200,38.916442,12,3,3,1,0,0,0,0,0,0,3,0,1,56,"Capital Bikeshare","www.capitalbikeshare.com/","","",0,1,47900,1,2,1,0,0,0,1,
"DC2058901",8197,"","","",,"","31227",2016-07-05,"13th St & New York Ave NW","Washington","DC","20589","Washington-Arlington-Alexandria DC-VA-MD-WV","13th St & New York Ave NW",-77.029822,38.900283,-77.029822,38.900283,12,3,3,1,0,0,0,0,0,2,3,0,1,56,"Capital Bikeshare","www.capitalbikeshare.com/","","",0,1,47900,1,2,1,0,0,0,1,
"DC2059001",112,"","","",,"","31228",2016-07-05,"8th & H St NW","Washington","DC","20590","Washington-Arlington-Alexandria DC-VA-MD-WV","8th & H St NW",-77.023086,38.899700,-77.022480,38.898935,12,3,3,1,1,0,0,0,0,1,3,0,1,56,"Capital Bikeshare","www.capitalbikeshare.com/","","",1,1,47900,1,3,1,0,1,0,1,
